Genus,Guild1,Guild2,Guild3,References,,,
Citricoccus,PlantBeneficial,PGP,IAA/ACC/Psolubilization,"Selvakumar, G., Bhatt, R. M., Upreti, K. K., Bindu, G. H., & Shweta, K. (2015). Citricoccus zhacaiensis B-4 (MTCC 12119) a novel osmotolerant plant growth promoting actinobacterium enhances onion (Allium cepa L.) seed germination under osmotic stress conditions.?World Journal of Microbiology and Biotechnology,?31(5), 833-839.","Yadav, A. N., Sachan, S. G., Verma, P., & Saxena, A. K. (2015). Prospecting cold deserts of north western Himalayas for microbial diversity and plant growth promoting attributes.?Journal of bioscience and bioengineering,?119(6), 683-693.",,
Citrobacter,PlantHarmful/Beneficial,Plant pathogen/Biocontrol/PGP,IAA/ACC/PSolubilization,"Gontia-Mishra, I., Sapre, S., Kachare, S., & Tiwari, S. (2017). Molecular diversity of 1-aminocyclopropane-1-carboxylate (ACC) deaminase producing PGPR from wheat (Triticum aestivum L.) rhizosphere.?Plant and soil,?414(1), 213-227.","Rodr  guez, H., & Fraga, R. (1999). Phosphate solubilizing bacteria and their role in plant growth promotion. Biotechnology advances, 17(4-5), 319-339.","Du, X., Luo, J., Huang, K., Yu, R., & Sang, J. (2020, August). Isolation and identification of a novel ginger tissue pathogenic bacteria Citrobacter sp. SJ7. In?IOP Conference Series: Earth and Environmental Science?(Vol. 559, No. 1, p. 012014). IOP Publishing.","Susilawati, L., Iwai, N., Komatsu, K., & Arie, T. (2021). Antifungal activity of bacteria isolated from Japanese frog skin against plant pathogenic fungi.?Biological Control,?153, 104498."
Clostridium,PlantHarmful/Beneficial,Plant pathogen/PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Cohnella,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Collimonas,PlantBeneficial,Biocontrol,,"Kamilova, F., Leveau, J. H., & Lugtenberg, B. (2007). Collimonas fungivorans, an unpredicted in vitro but efficient in vivo biocontrol agent for the suppression of tomato foot and root rot.?Environmental Microbiology,?9(6), 1597-1603.","Lee, Y. R., Mitchell, R. J., & Whang, K. S. (2016). Isolation and characterization of antifungal violacein producing bacterium Collimonas sp. DEC-B5.?Korean Journal of Microbiology,?52(2), 212-219.",,
Comamonas,PlantBeneficial,PGP,IAA/Siderophores,"Erturk, Y., Ercisli, S., Haznedar, A., & Cakmakci, R. (2010). Effects of plant growth promoting rhizobacteria (PGPR) on rooting and root growth of kiwifruit (Actinidia deliciosa) stem cuttings. Biological Research, 43(1), 91-98.",,,
Corallococcus,PlantBeneficial,Biocontrol,,"Li, Z., Ye, X., Chen, P., Ji, K., Zhou, J., Wang, F., ... & Cui, Z. (2017). Antifungal potential of Corallococcus sp. strain EGB against plant pathogenic fungi.?Biological Control,?110, 10-17.",,,
Corynebacterium,Plantharmful/Beneficial,PGP/StressResistance,NitrogenFixation/IAA/ACC/Halotolerant,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Cronobacter,PlantBeneficial,PGP/StressResistance,NitrogenFixation/IAA/PSolubilization/Halotolerant,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Crossiella,PlantBeneficial,Biocontrol,,"Gonzalez-Pimentel, J. L., Dominguez-Mo ino, I., Jurado, V., Laiz, L., Caldeira, A. T., & Saiz-Jimenez, C. (2022). The Rare Actinobacterium Crossiella sp. Is a Potential Source of New Bioactive Compounds with Activity against Bacteria and Fungi. Microorganisms, 10(8), 1575.",,,
Cryobacterium,PlantBeneficial,PGP,IAA/PSolubilization/Siderophores,"Mukhia, S., Kumar, A., Kumari, P., & Kumar, R. (2022). Psychrotrophic plant beneficial bacteria from the glacial ecosystem of Sikkim Himalaya: Genomic evidence for the cold adaptation and plant growth promotion.?Microbiological Research,?260, 127049.",,,
Cupriavidus,PlantBeneficial,PGP,NitrogenFixation/IAA,"Tapia-Garc赤a, E. Y., Hern芍ndez-Trejo, V., Guevara-Luna, J., Rojas-Rojas, F. U., Arroyo-Herrera, I., Meza-Radilla, G., ... & Estrada-de Los Santos, P. (2020). Plant growth-promoting bacteria isolated from wild legume nodules and nodules of Phaseolus vulgaris L. trap plants in central and southern Mexico. Microbiological Research, 239, 126522.","Rattanapolsan, L., Nakbanpote, W., & Sangdee, A. (2021). Zinc-and cadmium-tolerant endophytic bacteria from Murdannia spectabilis (Kurz) Faden. studied for plant growth-promoting properties, in vitro inoculation, and antagonism.?Archives of Microbiology,?203(3), 1131-1148.",,
Curtobacterium,PlantHarmful/Beneficial,Plant pathogen/PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.","Rattanapolsan, L., Nakbanpote, W., & Sangdee, A. (2021). Zinc-and cadmium-tolerant endophytic bacteria from Murdannia spectabilis (Kurz) Faden. studied for plant growth-promoting properties, in vitro inoculation, and antagonism.?Archives of Microbiology,?203(3), 1131-1148.",,
Cylindrospermum,PlantBeneficial,PGP,IAA,"Rai, A. N., Singh, A. K., & Syiem, M. B. (2019). Plant growth-promoting abilities in cyanobacteria. In Cyanobacteria (pp. 459-476). Academic Press.",,,
Dactylosporangium,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Delftia,PlantBeneficial,PGP,,"Subrahmanyam, G., Kumar, A., Sandilya, S. P., Chutia, M., & Yadav, A. N. (2020). Diversity, plant growth promoting attributes, and agricultural applications of rhizospheric microbes. In Plant microbiomes for sustainable agriculture (pp. 1-52). Springer, Cham.",,,
Dermacoccus,PlantBeneficial,PGP,IAA/PSolubilization/Siderophores,"Rangseekaew, P., Barros-Rodr赤guez, A., Pathom-Aree, W., & Manzanera, M. (2022). Plant Beneficial Deep-Sea Actinobacterium, Dermacoccus abyssi MT1. 1T Promote Growth of Tomato (Solanum lycopersicum) under Salinity Stress.?Biology,?11(2), 191.",,,
Derxia,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Desemzia,PlantBeneficial,PGP,IAA/Psolubilization,"Yadav, A. N., Sachan, S. G., Verma, P., & Saxena, A. K. (2016). Bioprospecting of plant growth promoting psychrotrophic Bacilli from the cold desert of north western Indian Himalayas.",,,
Desulfitobacterium,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Desulfomonile,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Desulfuromonas,PlantBeneficial,PGP,NitrogenFixation,"Shin, W., Islam, R., Benson, A., Joe, M. M., Kim, K., Gopal, S., ... & Sa, T. (2016). Role of diazotrophic bacteria in biological nitrogen fixation and plant growth improvement. Korean journal of soil science and fertilizer, 49(1), 17-29.",,,
Devosia,PlantBeneficial,PGP,,"Chhetri, G., Kim, I., Kang, M., Kim, J., So, Y., & Seo, T. (2022). Devosia rhizoryzae sp. nov., and Devosia oryziradicis sp. nov., novel plant growth promoting members of the genus Devosia, isolated from the rhizosphere of rice plants. Journal of Microbiology, 60(1), 1-10.",,,
Dietzia,PlantBeneficial,PGP,IAA,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Diplosphaera,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Duganella,PlantBeneficial,PGP,NitrogenFixation/Ksolubilization/IAA/Siderophores,"Ayangbenro, A. S., & Babalola, O. O. (2021). Reclamation of arid and semi-arid soils: The role of plant growth-promoting archaea and bacteria. Current Plant Biology, 25, 100173.",,,
Dyadobacter,PlantBeneficial,PGP,NitrogenFixation,"Kumar, S., Suyal, D. C., Bhoriyal, M., & Goel, R. (2018). Plant growth promoting potential of psychrotolerant Dyadobacter sp. for pulses and finger millet and impact of inoculation on soil chemical properties and diazotrophic abundance. Journal of Plant Nutrition, 41(8), 1035-1046.",,,
Dyella,PlantBeneficial,PGP,NitrogenFixation/IAA/ACC/PSolubilization,"Palaniappan, P., Chauhan, P. S., Saravanan, V. S., Anandham, R., & Sa, T. (2010). Isolation and characterization of plant growth promoting endophytic bacterial isolates from root nodule of Lespedeza sp. Biology and fertility of soils, 46(8), 807-816.",,,
Elioraea,PlantBeneficial,PGP,IAA/Siderophores,"Lee, H. J., & Whang, K. S. (2020). Elioraea rosea sp. nov., a plant promoting bacterium isolated from floodwater of a paddy field.?International Journal of Systematic and Evolutionary Microbiology,?70(3), 2132-2136.",,,
Empedobacter,PlantBeneficial,PGP,ACC/PSolubilization,"Midekssa, M. J., L?scher, C. R., Schmitz, R. A., & Assefa, F. (2016). Phosphate solubilization and multiple plant growth promoting properties of rhizobacteria isolated from chickpea (Cicer aeritinum L.) producing areas of Ethiopia.?African Journal of Biotechnology,?15(35), 1899-1912.","Gontia-Mishra, I., Sapre, S., Kachare, S., & Tiwari, S. (2017). Molecular diversity of 1-aminocyclopropane-1-carboxylate (ACC) deaminase producing PGPR from wheat (Triticum aestivum L.) rhizosphere.?Plant and soil,?414(1), 213-227.",,
Emticicia,PlantBeneficial,PGP,,"Toyama, T., Hanaoka, T., Yamada, K., Suzuki, K., Tanaka, Y., Morikawa, M., & Mori, K. (2019). Enhanced production of biomass and lipids by Euglena gracilis via co-culturing with a microalga growth-promoting bacterium, Emticicia sp. EG3. Biotechnology for biofuels, 12(1), 1-12.",,,
Ensifer,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Enterobacter,PlantHarmful/Beneficial,Plant pathogen/PGP/StressResistance,NitrogenFixation/IAA/ACC/PSolubilization/Ksolubilization/Halotolerant/Siderophores,"Mehmood, M. A., Fu, Y., Zhao, H., Cheng, J., Xie, J., & Jiang, D. (2022). Enrichment of bacteria involved in the nitrogen cycle and plant growth promotion in soil by sclerotia of rice sheath blight fungus. Stress Biology, 2(1), 1-13.","Hakim, S., Naqqash, T., Nawaz, M. S., Laraib, I., Siddique, M. J., Zia, R., ... & Imran, A. (2021). Rhizosphere engineering with plant growth-promoting microorganisms for agriculture and ecological sustainability. Frontiers in Sustainable Food Systems, 5, 617157.","Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592."
Enterococcus,PlantBeneficial,PGP/StressResistance,IAA/PSolubilization/Halotolerant/Siderophores,"Lee, K. E., Radhakrishnan, R., Kang, S. M., You, Y. H., Joo, G. J., Lee, I. J., ... & Kim, J. H. (2015). Enterococcus faecium LKE12 cell-free extract accelerates host plant growth via gibberellin and indole-3-acetic acid secretion. Journal of Microbiology and Biotechnology, 25(9), 1467-1475.",,,
Erwinia,PlantHarmful/Beneficial,Plant pathogen/Biocontrol/PGP,NitrogenFixation/IAA/PSolubilization,"Mansfield, J., Genin, S., Magori, S., Citovsky, V., Sriariyanum, M., Ronald, P., ... & Foster, G. D. (2012). Top 10 plant pathogenic bacteria in molecular plant pathology. Molecular plant pathology, 13(6), 614-629.","Hakim, S., Naqqash, T., Nawaz, M. S., Laraib, I., Siddique, M. J., Zia, R., ... & Imran, A. (2021). Rhizosphere engineering with plant growth-promoting microorganisms for agriculture and ecological sustainability. Frontiers in Sustainable Food Systems, 5, 617157.","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592.",
Erythrobacter,PlantBeneficial,PGP,,"Tang, T., Sun, X., Dong, Y., & Liu, Q. (2019). Erythrobacter aureus sp. nov., a plant growth-promoting bacterium isolated from sediment in the Yellow Sea, China. 3 Biotech, 9(11), 1-9.",,,
Escherichia-Shigella,PlantHarmful/Beneficial,Plant pathogen/PGP,IAA/Psolubilization/Cytokinin,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.","Abed, R. M., Al-Kharusi, S., Gkorezis, P., Prigent, S., & Headley, T. (2018). Bacterial communities in the rhizosphere of Phragmites australis from an oil-polluted wetland.?Archives of Agronomy and Soil Science,?64(3), 360-370.",,
Exiguobacterium,PlantBeneficial,PGP/StressResistance,NitrogenFixation/IAA/ACC/PSolubilization/Halotolerant/Siderophores,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.","Yadav, A. N., Sachan, S. G., Verma, P., & Saxena, A. K. (2015). Prospecting cold deserts of north western Himalayas for microbial diversity and plant growth promoting attributes.?Journal of bioscience and bioengineering,?119(6), 683-693.",,
Fictibacillus,PlantBeneficial,PGP,IAA/PSolubilization/Siderophores,"Borah, M., Das, S., Bora, S. S., Boro, R. C., & Barooah, M. (2021). Comparative assessment of multi-trait plant growth-promoting endophytes associated with cultivated and wild Oryza germplasm of Assam, India.?Archives of Microbiology,?203(5), 2007-2028.",,,
Flavisolibacter,PlantBeneficial,PGP,PSolubilization,"Zhou, X., Zhang, X., Ma, C., Wu, F., Jin, X., Dini-Andreote, F., & Wei, Z. (2022). Biochar amendment reduces cadmium uptake by stimulating cadmium-resistant PGPR in tomato rhizosphere.?Chemosphere,?307, 136138.",,,
Flavobacterium,PlantBeneficial,Biocontrol/PGP,IAA/Psolubilization/Siderophores,"Sang, M. K., & Kim, K. D. (2012). The volatile坼producing Flavobacterium johnsoniae strain GSE09 shows biocontrol activity against Phytophthora capsici in pepper.?Journal of applied microbiology,?113(2), 383-398.","Yadav, A. N., Sachan, S. G., Verma, P., & Saxena, A. K. (2015). Prospecting cold deserts of north western Himalayas for microbial diversity and plant growth promoting attributes.?Journal of bioscience and bioengineering,?119(6), 683-693.",,
Flectobacillus,PlantBeneficial,PGP,Ksolubilization,"Kour, D., Rana, K. L., Kaur, T., Yadav, N., Halder, S. K., Yadav, A. N., ... & Saxena, A. K. (2020). Potassium solubilizing and mobilizing microbes: biodiversity, mechanisms of solubilization, and biotechnological implication for alleviations of abiotic stress. In?New and Future Developments in Microbial Biotechnology and Bioengineering?(pp. 177-202). Elsevier.",,,
Flindersiella,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Frankia,PlantBeneficial,PGP,NitrogenFixation,"Nash, M. V., Anesio, A. M., Barker, G., Tranter, M., Varliero, G., Eloe-Fadrosh, E. A., et al. (2018). Metagenomic insights into diazotrophic communities across Arctic glacier forefields. FEMS Microbiol. Ecol. 94:fiy114. doi: 10.1093/femsec/fiy114",,,
Frateuria,PlantBeneficial,PGP,,"Subhashini, D. V. (2015). Growth promotion and increased potassium uptake of tobacco by potassium-mobilizing bacterium Frateuria aurantia grown at different potassium levels in vertisols.?Communications in Soil Science and Plant Analysis,?46(2), 210-220.",,,
Frigoribacterium,PlantBeneficial,Biocontrol/PGP,NitrogenFixation/IAA,"Cordovez, V., Schop, S., Hordijk, K., Dupr谷 de Boulois, H., Coppens, F., Hanssen, I., ... & Carri車n, V. J. (2018). Priming of plant growth promotion by volatiles of root-associated Microbacterium spp. Applied and environmental microbiology, 84(22), e01865-18.",,,
Frondihabitans,PlantBeneficial,Biocontrol,,"Vega-Celed車n, P., Bravo, G., Vel芍squez, A., Cid, F. P., Valenzuela, M., Ram赤rez, I., ... & Seeger, M. (2021). Microbial diversity of psychrotolerant bacteria isolated from wild flora of andes mountains and patagonia of chile towards the selection of plant growth-promoting bacterial consortia to alleviate cold stress in plants.?Microorganisms,?9(3), 538.",,,
Fulvimonas,PlantBeneficial,PGP,IAA/ACC/Siderophores,"Lee, S. Y., Lee, Y. Y., & Cho, K. S. (2021). Characterization of heavy metal tolerant and plant growth-promoting rhizobacteria isolated from soil contaminated with heavy metal and diesel.?Microbiology and Biotechnology Letters,?49(3), 413-424.",,,
Gemmatimonas,PlantBeneficial,PGP,,"Mehmood, M. A., Fu, Y., Zhao, H., Cheng, J., Xie, J., & Jiang, D. (2022). Enrichment of bacteria involved in the nitrogen cycle and plant growth promotion in soil by sclerotia of rice sheath blight fungus. Stress Biology, 2(1), 1-13.",,,
Geobacillus,PlantBeneficial,Biocontrol/PGP,IAA/ACC/Siderophores,"Siddharthan, N., Balagurunathan, R., Venkatesan, S., & Hemalatha, N. (2022). Bio-efficacy of Geobacillus thermodenitrificans PS41 against larvicidal, fungicidal, and plant growth每promoting activities. Environmental Science and Pollution Research, 1-12.",,,
Geobacter,PlantBeneficial,PGP,,"Mehmood, M. A., Fu, Y., Zhao, H., Cheng, J., Xie, J., & Jiang, D. (2022). Enrichment of bacteria involved in the nitrogen cycle and plant growth promotion in soil by sclerotia of rice sheath blight fungus. Stress Biology, 2(1), 1-13.",,,
Georgenia,PlantBeneficial,Biocontrol/PGP,IAA/PSolubilization/Siderophores,"Chauhan, J., & Gohel, S. (2022). Exploring plant growth-promoting, biocatalytic, and antimicrobial potential of salt tolerant rhizospheric Georgenia soli strain TSm39 for sustainable agriculture.?Brazilian Journal of Microbiology, 1-12.",,,
Gluconacetobacter,PlantBeneficial,PGP,NitrogenFixation/Plant growth hormone/PSolubilization/Siderophores,"Lyu, D., Backer, R., & Smith, D. L. (2022). Three plant growth-promoting rhizobacteria alter morphological development, physiology, and flower yield of Cannabis sativa L. Industrial Crops and Products, 178, 114583.",,,
Gluconobacter,PlantHarmful/Beneficial,Plant pathogen/PGP,,"Kour, D., Rana, K. L., Yadav, N., Yadav, A. N., Kumar, A., Meena, V. S., ... & Saxena, A. K. (2019). Rhizospheric microbiomes: biodiversity, mechanisms of plant growth promotion, and biotechnological applications for sustainable agriculture. In Plant Growth Promoting Rhizobacteria for Agricultural Sustainability (pp. 19-65). Springer, Singapore.","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592.",,
Glycomyces,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Gordonia,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Gracilibacillus,PlantBeneficial,PGP/StressResistance,IAA/PSolubilization/Halotolerant/Siderophores,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Hafnia,PlantBeneficial,PGP,IAA,"Radulovi?, O., Stankovi?, S., Stanojevi?, O., Vuj?i?, Z., Dojnov, B., Trifunovi?-Mom?ilov, M., & Markovi?, M. (2021). Antioxidative responses of duckweed (Lemna minor l.) to phenol and rhizosphere-associated bacterial strain hafnia paralvei c32-106/3.?Antioxidants,?10(11), 1719.",,,
Haloarcula,PlantBeneficial,PGP,PSolubilization,"Ayangbenro, A. S., & Babalola, O. O. (2021). Reclamation of arid and semi-arid soils: The role of plant growth-promoting archaea and bacteria. Current Plant Biology, 25, 100173.",,,
Halobacillus,PlantBeneficial,PGP/StressResistance,NitrogenFixation/IAA/PSolubilization/Halotolerant,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Halococcus,PlantBeneficial,PGP,PSolubilization,"Ayangbenro, A. S., & Babalola, O. O. (2021). Reclamation of arid and semi-arid soils: The role of plant growth-promoting archaea and bacteria. Current Plant Biology, 25, 100173.",,,
Halomonas,PlantBeneficial,Biocontrol/PGP/StressResistance,NitrogenFixation/IAA/PSolubilization/Halotolerant,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Halorubrum,PlantBeneficial,PGP,IAA/Psolubilization/Ksolubilization/Siderophores,"Debasis, M., Sne?ana, A., Panneerselvam, P., Manisha, S. A., Tanja, V., Ganeshamurthy, A. N., ... & Divya, J. (2019). Plant growth promoting microorganisms (PGPMs) helping in sustainable agriculture: current perspective.?International Journal of Agricultural Sciences and Veterinary Medicine, Bd,?7(2), 50-74.",,,
Halothiobacillus,PlantBeneficial,PGP,PSolubilization,"Rangasamy, A., Veeranan, J., Pandiyan, I. G., Soon, W. K., Keun, Y. C., Gwang, H. H., ... & Tong, M. S. (2014). Early plant growth promotion of maize by various sulfur oxidizing bacteria that uses different thiosulfate oxidation pathway.?African Journal of Microbiology Research,?8(1), 19-27.",,,
Hartmannibacter,PlantBeneficial,PGP,NitrogenFixation/PSolubilization,"Suarez, C., Ratering, S., Geissler-Plaum, R., & Schnell, S. (2014). Hartmannibacter diazotrophicus gen. nov., sp. nov., a phosphate-solubilizing and nitrogen-fixing alphaproteobacterium isolated from the rhizosphere of a natural salt-meadow plant. International journal of systematic and evolutionary microbiology, 64(Pt_9), 3160-3167.",,,
Herbaspirillum,PlantHarmful/Beneficial,Plant pathogen/PGP,NitrogenFixation/ACC/Gibberellin/Siderophores,"Lyu, D., Backer, R., & Smith, D. L. (2022). Three plant growth-promoting rhizobacteria alter morphological development, physiology, and flower yield of Cannabis sativa L. Industrial Crops and Products, 178, 114583.","Tapia-Garc赤a, E. Y., Hern芍ndez-Trejo, V., Guevara-Luna, J., Rojas-Rojas, F. U., Arroyo-Herrera, I., Meza-Radilla, G., ... & Estrada-de Los Santos, P. (2020). Plant growth-promoting bacteria isolated from wild legume nodules and nodules of Phaseolus vulgaris L. trap plants in central and southern Mexico. Microbiological Research, 239, 126522.","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592.",
Herbidospora,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Hydrogenophaga,PlantHarmful/Beneficial,Plant pathogen/PGP,,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.","Bashan, Y., & De-Bashan, L. E. (2005). Plant growth-promoting. Encyclopedia of soils in the environment, 1, 103-115.",,
Hymenobacter,PlantBeneficial,PGP,,"Dimitrijevi , S., Pavlovi , M., Maksimovi , S., Risti , M., Filipovi , V., Antonovi , D., & Dimitrijevi 坼Brankovi , S. (2018). Plant growth坼promoting bacteria elevate the nutritional and functional properties of black cumin and flaxseed fixed oil. Journal of the Science of Food and Agriculture, 98(4), 1584-1590.",,,
Hyphomicrobium,PlantBeneficial,PGP,,"Rani, V., Bhatia, A., Nain, L., Tomar, G. S., & Kaushik, R. (2021). Methane utilizing plant growth-promoting microbial diversity analysis of flooded paddy ecosystem of India. World Journal of Microbiology and Biotechnology, 37(4), 1-22.",,,
Hyphomonas,PlantBeneficial,PGP,IAA,"Zhang, B., Chen, J., Su, Y., Sun, W., & Zhang, A. (2022). Utilization of indole-3-acetic acid每secreting bacteria in algal environment to increase biomass accumulation of ochromonas and chlorella.?BioEnergy Research,?15(1), 242-252.",,,
Hyunsoonleella,PlantBeneficial,PGP,,"Wang, H., Elyamine, A. M., Liu, Y., Liu, W., Chen, Q., Xu, Y., ... & Hu, Z. (2021). Hyunsoonleella sp. HU1-3 Increased the Biomass of Ulva fasciata.?Frontiers in microbiology,?12, 788709-788709.",,,
Idiomarina,PlantBeneficial,PGP/StressResistance,IAA/Halotolerant/Siderophores,"Masmoudi, F., Abdelmalek, N., Tounsi, S., Dunlap, C. A., & Trigui, M. (2019). Abiotic stress resistance, plant growth promotion and antifungal potential of halotolerant bacteria from a Tunisian solar saltern.?Microbiological research,?229, 126331.","Rajapitamahuni, S., Bachani, P., Sardar, R. K., & Mishra, S. (2019). Co-cultivation of siderophore-producing bacteria Idiomarina loihiensis RS14 with Chlorella variabilis ATCC 12198, evaluation of micro-algal growth, lipid, and protein content under iron starvation.?Journal of applied phycology,?31(1), 29-39.",,
Ignatzschineria,PlantBeneficial,PGP,IAA,"Park, S., Kim, A., Hong, Y. K., Shin, J. H., & Joo, S. H. (2021). A highly efficient auxin-producing bacterial strain and its effect on plant growth.?Journal of Genetic Engineering and Biotechnology,?19(1), 1-9.",,,
Indibacter,PlantBeneficial,PGP,IAA,"G車mez G, L., Valero V, N., & de Brigard C, R. (2012). SOILS, FERTILIZATION AND MANAGEMENT OF WATER Halotolerant/alkalophilic bacteria associated with the cyanobacterium Arthrospira platensis (Nordstedt) Gomont that promote early growth in Sorghum bicolor (L.) Moench.?Agronom赤a Colombiana,?30(1), 111-115.",,,
Inquilinus,PlantBeneficial,PGP,,"Rat, A., Naranjo, H. D., Krigas, N., Grigoriadou, K., Maloupa, E., Alonso, A. V., ... & Willems, A. (2021). Endophytic bacteria from the roots of the medicinal plant Alkanna tinctoria Tausch (Boraginaceae): exploration of plant growth promoting properties and potential role in the production of plant secondary metabolites. Frontiers in microbiology, 12, 633488.",,,
Isoptericola,PlantBeneficial,Biocontrol/PGP/StressResistance,NitrogenFixation/IAA/PSolubilization/Halotolerant,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Janibacter,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
